signal_date,ticker,name,market,main_theme,specific_signal,trigger_type,confidence,watch_keywords,chart_score,entry_risk,rsi14,volume_ratio_20d,value_ratio_20d,distance_ma20_pct,upper_shadow_pct,close_position_pct,high_20d_breakout,high_60d_breakout,trend_state,candle_state,pattern,close_on_signal_date,entry_price_next_open,exit_close_1d,exit_close_3d,exit_close_5d,exit_close_10d,return_1d,return_3d,return_5d,return_10d,max_gain_5d,max_drawdown_5d,max_gain_10d,max_drawdown_10d,strategy_eligible,exclusion_reasons,strategy_entry_price,strategy_exit_price,strategy_exit_reason,strategy_exit_date,strategy_return_pct,profitability_score,score_label,score_breakdown,consecutive_days,cluster_size,bars_available,note,reason_unknown_category,article_count,article_origin_dist,latest_article_date,trigger_lag_candidate
20260420,065420,에스아이리소스,KOSDAQ,수주/공급계약,"한국중부발전과의 내연용 바이오중유 공급계약 약 43~44억원(계약기간 2026.05.01~2026.07.15, 최근 매출의 약 21.02%)",contract,high,"수주/공급계약, 신재생·바이오연료, 발전사 납품, 내연용 바이오중유, 계약기간 2026.05-07, 매출대비 21% 규모",,,,,,,,,False,False,,,,282.0,282.0,308.0,300.0,281.0,,9.22,6.38,-0.35,,32.98,-4.26,32.98,-8.51,True,,282.0,270.72,stop_loss,20260428,-4.0,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",1,1,9,,,5,stock_news:5,2026-04-20 13:40,-1
20260420,424760,벨로크,KOSDAQ,수급,정보보안·인증 섹터 동반 급등에 의한 단기 수급 쏠림(보안 관련주 일제 강세),technical,medium,"정보보안 섹터, 단기 수급 쏠림, 인증·보안 솔루션 계약, 공공·금융 보안 수요, 섹터 동반 급등",,,,,,,,,False,False,,,,1887.0,0.0,1887.0,1887.0,1887.0,,,,,,,,,,True,,,,data_missing,,,56,neutral,"{""conf_medium"": 6}",3,1,9,,,1,stock_news:1,2026-04-20 13:40,-1
20260420,025770,한국정보통신,KOSDAQ,수급,거래량 급증에 따른 단기 수급성 급등(블록딜·대량매수·프로그램매매 가능성),unknown,low,"수급, 프로그램매매, 거래량 급증, 블록딜 가능성, 외국인 순매수, 미확인 루머",,,,,,,,,False,False,,,,12450.0,12450.0,11830.0,11420.0,11680.0,,-4.98,-8.27,-6.18,,0.0,-10.68,0.0,-15.66,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260420,203650,드림시큐리티,KOSDAQ,수급,거래량 폭증에 따른 단기 과열성 수급(무확인 호재·루머 가능성),unknown,low,"수급(대량거래), 테마성 루머, 기술적 반등, 비정상적 거래대금, 공시·호재 대기",,,,,,,,,False,False,,,,3015.0,3060.0,3035.0,2740.0,3755.0,,-0.82,-10.46,22.71,,22.71,-14.87,52.78,-14.87,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",2,1,9,,no_news_in_window,0,,,
20260420,036930,주성엔지니어링,KOSDAQ,수급,거래량 급증에 따른 단기 과열·수급성 급등,unknown,low,"수급, 단기 과매수, 반도체 장비, 대량거래 발생, 공시(수주·제휴)",,,,,,,,,False,False,,,,126000.0,126000.0,130500.0,126000.0,127600.0,,3.57,0.0,1.27,,8.49,-9.6,40.32,-9.6,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",5,1,9,,no_news_in_window,0,,,
20260420,067730,로지시스,KOSDAQ,수급/테마성 급등,,unknown,low,"물류, 3PL, M&A, 유통사 물류센터 수주, 택배 위탁계약 규모",,,,,,,,,False,False,,,,3415.0,3500.0,3400.0,3265.0,3230.0,,-2.86,-6.71,-7.71,,9.86,-9.0,9.86,-14.0,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260420,184230,SGA솔루션즈,KOSDAQ,수급,단기 대량매수·테마성 수급에 따른 급등 (명확한 공시·기사 없음),unknown,low,"수급 급변, 프로그램 매매, 지분변동·대량보유, IT서비스·SI 수주, M&A 가능성",,,,,,,,,False,False,,,,820.0,820.0,749.0,754.0,754.0,,-8.66,-8.05,-8.05,,0.0,-100.0,0.0,-100.0,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260420,024950,삼천리자전거,KOSDAQ,수급,,unknown,low,"수급(개인·프로그램), 전동자전거(EBike) 수요, 전기자전거 보조금, 오프라인 납품·유통 계약, 이상거래·거래량 급증",,,,,,,,,False,False,,,,5220.0,5220.0,5120.0,5110.0,4955.0,,-1.92,-2.11,-5.08,,4.98,-5.46,4.98,-12.64,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260421,009415,태영건설우,KOSPI,수급,중동 종전(휴전) 기대에 따른 '중동 전후 인프라 재건(원전·에너지시설 포함) 수주' 기대감 확산,rumor,medium,"중동 재건, 지정학 리스크 완화, 중동 인프라 복구 수주, 원전·에너지시설 복구, 외국인·기관 순매수",,,,,,,,,False,False,,,,12060.0,12000.0,12050.0,11200.0,11060.0,,0.42,-6.67,-7.83,,24.58,-13.92,24.58,-15.67,True,,12000.0,11520.0,stop_loss,20260428,-4.0,56,neutral,"{""conf_medium"": 6}",2,1,9,,,16,stock_news:16,2026-04-21 16:11,-1
20260421,336370,솔루스첨단소재,KOSPI,수급,,unknown,low,"수급, 공매도, 기술적 반등, 대량거래, 외국인 순매수 급증, 미확인 루머/호재",,,,,,,,,False,False,,,,15600.0,15930.0,16150.0,13090.0,13320.0,,1.38,-17.83,-16.38,,2.01,-18.64,2.01,-29.69,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",2,1,9,,no_news_in_window,0,,,
20260421,006400,삼성SDI,KOSPI,2차전지,,unknown,low,"2차전지, 전기차 배터리, 글로벌 전기차 판매, NCM·LFP 수요전환, 배터리 원재료(니켈·코발트) 가격, 배터리 셀·팩 공급계약 체결",,,,,,,,,False,False,,,,635000.0,657000.0,680000.0,695000.0,698000.0,,3.5,5.78,6.24,,10.05,-1.07,10.05,-6.24,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260421,443060,HD현대마린솔루션,KOSPI,조선/해운,직접적 공시·보도 없음 — 단기 수급·테마성(지수/ETF 편입 루머·기관 매수) 가능성,unknown,low,"조선/해운 수주, 친환경 선박 연료, LNG·암모니아 추진 솔루션, 대형 해양플랜트 EPC 계약, 지수/ETF 편입 가능성",,,,,,,,,False,False,,,,280500.0,275000.0,276000.0,265500.0,260500.0,,0.36,-3.45,-5.27,,2.91,-8.55,2.91,-14.55,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260421,009155,삼성전기우,KOSPI,수급·시장 랠리 (코스피·외국인·기관 매수),외국인·기관 동반 순매수에 따른 코스피 사상 최고치 장세가 촉발한 기술적 랠리(동시에 증권사 리포트로 부각된 AI 데이터센터용 ABF 기판·실리콘 커패시터 수요 확대가 밑받침),technical,medium,"기관·외국인 순매수, AI 데이터센터/서버 수요, ABF(아지노모토 빌드업필름) 기판, 실리콘 커패시터(MLCC) 서버용 수요, LPU/엔비디아 공급망 편입, 52주 신고가·기술적 랠리",,,,,,,,,False,False,,,,311500.0,325000.0,345500.0,348000.0,382000.0,,6.31,7.08,17.54,,24.92,-2.77,24.92,-2.77,True,,325000.0,351000.0,take_profit,20260428,8.0,56,neutral,"{""conf_medium"": 6}",1,1,9,,,6,stock_news:6,2026-04-21 16:11,-1
20260421,047040,대우건설,KOSPI,수급,단기간 대량 거래에 따른 수급 급변(테마성 매수 또는 공매도 커버링 가능성),unknown,low,"수급(대량거래), 건설·재개발 정책, 기관·외국인 매수 집중, 대형 수주·공사계약, 자산매각·유동화 추진",,,,,,,,,False,False,,,,33200.0,33850.0,37150.0,35000.0,32200.0,,9.75,3.4,-4.87,,19.2,-13.0,19.2,-16.25,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",4,1,9,,no_news_in_window,0,,,
20260421,092220,KEC,KOSPI,수급,,unknown,low,"시장 수급, 거래량 집중, 전선 공급계약, 해외 EPC 수주, 공장 가동/증설",,,,,,,,,False,False,,,,1838.0,0.0,1838.0,1838.0,1838.0,,,,,,,,,,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",3,1,9,,theme_only_supply,5,stock_news:5,2026-04-15 12:57,5
20260421,049800,우진플라임,KOSPI,스마트 제조/산업용 로봇,자체 개발 산업용 로봇 'WABOT' 양산 돌입 및 로봇 공장 준공 (사출기·로봇·소프트웨어 통합 사업전환),disclosure,high,"산업용 로봇 양산, 스마트팩토리/스마트 제조, WABOT 양산 출하, 로봇 공장 준공, PLAIMM-X CMS 통합",,,,,,,,,False,False,,,,2930.0,2950.0,2855.0,2735.0,2660.0,,-3.22,-7.29,-9.83,,0.34,-11.69,0.34,-18.31,True,,2950.0,2832.0,stop_loss,20260428,-4.0,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",1,1,9,,,10,stock_news:10,2026-04-21 09:23,-1
20260421,006405,삼성SDI우,KOSPI,2차전지,ESS용 배터리 분기별 실적 성장 및 AMPC(생산세액공제) 인식(915억원)으로 인한 ESS 사업 수익성 개선·라인 EV→ESS 전환과 미국 ESS 시장 추가 수주 기대,earnings,high,"2차전지, ESS(에너지저장장치), AMPC 생산세액공제(915억원), 라인 전환(EV→ESS), 미국 ESS 수주 확대",,,,,,,,,False,False,,,,309000.0,313000.0,329500.0,354000.0,355500.0,,5.27,13.1,13.58,,19.17,-0.16,19.17,-2.24,True,,313000.0,338040.0,take_profit,20260429,8.0,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",1,1,9,,,1,stock_news:1,2026-04-20 09:54,0
20260421,457190,이수스페셜티케미컬,KOSPI,수급,,unknown,low,"수급, 특수화학, 기술적 반등, 전자재료 첨가제 수주, 원재료(나프타) 가격, 기관·외국인 순매수",,,,,,,,,False,False,,,,121800.0,125500.0,123500.0,121500.0,121800.0,,-1.59,-3.19,-2.95,,2.55,-5.74,2.55,-20.24,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260421,222080,씨아이에스,KOSDAQ,2차전지,메르세데스-벤츠×삼성SDI 공급계약으로 촉발된 2차전지 공급망 수혜 — 전극 공정장비(건식 전극·하이브리드 건조 코팅) 수요 기대 및 최근 산업대상 수상으로 기술력 입증,contract,medium,"2차전지 공급망, 배터리 전극 공정장비, 전고체 배터리, 하이브리드 건조 코팅 시스템, 건식 전극 공정",,,,,,,,,False,False,,,,17130.0,17520.0,18200.0,17170.0,16890.0,,3.88,-2.0,-3.6,,13.47,-5.08,13.47,-17.69,True,,17520.0,18921.6,take_profit,20260428,8.0,66,watch,"{""conf_medium"": 6, ""trigger_strong"": 10}",1,1,9,,,6,stock_news:6,2026-04-21 17:30,-1
20260421,045510,정원엔시스,KOSDAQ,수급,코스닥 단기 상한가·테마성 동시 급등(개인 순매수 집중),unknown,low,"개인 순매수, 코스닥 상한가 랠리, 테마성 동시급등, 거래량 급증(호가창·체결패턴), 개별 공시 여부(계약·인수합병), 동일 업종 동반상승 관찰",,,,,,,,,False,False,,,,1248.0,1258.0,1193.0,1166.0,1102.0,,-5.17,-7.31,-12.4,,4.37,-14.39,4.37,-18.52,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",2,1,9,,headline_only_generic,1,stock_news:1,2026-04-21 16:11,-1
20260421,036930,주성엔지니어링,KOSDAQ,수급,단기 과열성 매수(거래량 급증·개인 중심 순매수)로 인한 기술적 급등,unknown,low,"수급, 개인투자자 매수, 거래량 1천만주 돌파, 대량매수 집중",,,,,,,,,False,False,,,,126000.0,126000.0,130500.0,126000.0,127600.0,,3.57,0.0,1.27,,8.49,-9.6,40.32,-9.6,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",5,1,9,,no_news_in_window,0,,,
20260421,107640,한중엔시에스,KOSDAQ,2차전지,ESS·배터리 열관리(수냉식 냉각 시스템) 수혜 기대,rumor,medium,"ESS, 배터리 안전/화재 리스크, 2차전지, 수냉식 냉각 시스템, ESS 냉각모듈 수요, 배터리 열관리 솔루션",,,,,,,,,False,False,,,,67100.0,68400.0,67200.0,67100.0,68300.0,,-1.75,-1.9,-0.15,,5.99,-4.82,5.99,-17.69,True,,68400.0,65664.0,stop_loss,20260428,-4.0,56,neutral,"{""conf_medium"": 6}",1,1,9,,,4,stock_news:4,2026-04-21 16:50,-1
20260421,312610,에이에프더블류,KOSDAQ,수급,개인 순매수 주도 코스닥 단기 급등(상한가·거래량 급증 군집),unknown,low,"개인 순매수, 코스닥 단기 급등, 상한가 군집, 거래량 급증, 외국인·기관 순매도",,,,,,,,,False,False,,,,1340.0,1339.0,1427.0,1350.0,1230.0,,6.57,0.82,-8.14,,12.85,-10.38,12.85,-14.12,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",2,1,9,,headline_only_generic,1,stock_news:1,2026-04-21 16:11,-1
20260421,900100,애머릿지,KOSDAQ,수급/시황,한국거래소의 ‘현저한 시황변동’ 관련 조회공시 요구(코스닥시장본부 조회공시),disclosure,high,"거래소 조회공시, 수급 집중, 현저한 시황변동, 상한가(30%), 거래량 급증",,,,,,,,,False,False,,,,669.0,660.0,585.0,513.0,495.0,,-11.36,-22.27,-25.0,,0.0,-25.61,0.0,-36.06,True,,660.0,633.6,stop_loss,20260428,-4.0,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",2,1,9,,,7,stock_news:7,2026-04-14 13:07,6
20260421,189330,씨이랩,KOSDAQ,AI 인프라,NPN(NVIDIA Partner Network) 'NVIDIA Enterprise Software Competency' 부문 최고 등급 엘리트 승격,disclosure,high,"AI 인프라, NVIDIA 파트너 생태계, 디지털트윈, NPN 엘리트 승격, AstraGo GPU 자원 관리",,,,,,,,,False,False,,,,6960.0,6960.0,6670.0,6620.0,7260.0,,-4.17,-4.89,4.31,,7.76,-9.34,29.31,-9.34,True,,6960.0,6681.6,stop_loss,20260428,-4.0,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",3,1,9,,,1,stock_news:1,2026-04-21 10:07,-1
20260421,073570,리튬포어스,KOSDAQ,수급/테마,,unknown,low,"2차전지, 수급, 리튬 가격 급등, 장외풍문(루머), 유상증자 가능성",,,,,,,,,False,False,,,,712.0,764.0,821.0,821.0,821.0,,7.46,7.46,7.46,,21.07,-100.0,21.07,-100.0,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",2,1,9,,no_news_in_window,0,,,
20260421,424760,벨로크,KOSDAQ,수급,정보보안·인증 섹터 동반 급등에 의한 단기 수급 쏠림(보안 관련주 일제 강세),technical,medium,"정보보안 섹터, 단기 수급 쏠림, 인증·보안 솔루션 계약, 공공·금융 보안 수요, 섹터 동반 급등",,,,,,,,,False,False,,,,1887.0,0.0,1887.0,1887.0,1887.0,,,,,,,,,,True,,,,data_missing,,,56,neutral,"{""conf_medium"": 6}",3,1,9,,,1,stock_news:1,2026-04-21 18:09,-1
20260421,127980,화인써키트,KOSDAQ,수급,,unknown,low,"수급 급증, 거래량 급증, 공매도 감소, 차트 저항선 돌파, 블록딜/대량매수",,,,,,,,,False,False,,,,6000.0,5990.0,6000.0,7010.0,7140.0,,0.17,17.03,19.2,,30.38,-0.67,30.38,-0.67,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260422,092220,KEC,KOSPI,수급,개인 매수 집중에 따른 단기 테마성 급등(무공시·랭킹 노출에 따른 수급 쏠림),unknown,low,"수급(개인매수), 단기 과열, 거래량 급증, 상승률 상위 랭킹, 무공시 급등",,,,,,,,,False,False,,,,1838.0,0.0,1838.0,1838.0,1838.0,,,,,,,,,,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",3,1,9,,headline_only_generic,1,stock_news:1,2026-04-22 09:27,-1
20260422,017860,DS단석,KOSPI,수급/테마,SAF(지속가능항공유) 부각 및 2차전지 ETF 중심 섹터·수급성 급등(상한가 지속),unknown,low,"SAF(지속가능항공유), 2차전지 ETF, 국제 유가 급등, 상한가 연속, 주식배당에 따른 지분 확대",,,,,,,,,False,False,,,,24900.0,24950.0,23700.0,24000.0,24850.0,,-5.01,-3.81,-0.4,,4.41,-7.21,4.41,-18.84,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,theme_only_supply,2,stock_news:2,2026-04-22 16:37,-1
20260422,161000,애경케미칼,KOSPI,수급,,unknown,low,"수급(개인·외국인), 거래량 급증·대량매매, 공시(지분변동·M&A), 공매도 잔고, 대주주 지분 변동, 기술적 저항선 돌파",,,,,,,,,False,False,,,,16800.0,15990.0,15940.0,15530.0,15540.0,,-0.31,-2.88,-2.81,,5.38,-5.88,5.38,-16.32,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",1,1,9,,no_news_in_window,0,,,
20260422,456040,OCI,KOSPI,실적,1Q 영업이익 급증(전년比 171.4%↑) — 카본케미칼 호조 및 피앤오케미칼 합병·OJCB 청산에 따른 사업재편,earnings,high,"카본케미칼, 반도체 소재, 피앤오케미칼 합병, OJCB 청산, 실리콘 음극재 장기공급계약, 전도성 카본블랙 3만톤 증설",,,,,,,,,False,False,,,,140700.0,140800.0,140900.0,150000.0,141900.0,,0.07,6.53,0.78,,7.6,-1.99,7.6,-8.95,True,,140800.0,141900.0,time_exit,20260506,0.78,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",2,1,9,,,2,stock_news:2,2026-04-22 16:05,-1
20260422,006110,삼아알미늄,KOSPI,수급(원자재),호르무즈 해협 봉쇄(역봉쇄)·미·이란 종전협상 교착으로 중동 알루미늄 제련 공급 차질 우려 → LME 알루미늄 가격·프리미엄 급등,policy,high,"원자재 수급, 중동 지정학 리스크, 호르무즈 해협 봉쇄, LME 알루미늄 프리미엄 상승, 알루미늄 제련소 가동중단",,,,,,,,,False,False,,,,68800.0,69000.0,72500.0,68800.0,65700.0,,5.07,-0.29,-4.78,,13.04,-12.75,23.77,-12.75,True,,69000.0,74520.0,take_profit,20260428,8.0,72,watch,"{""conf_high"": 12, ""trigger_strong"": 10}",8,1,9,,,18,stock_news:18,2026-04-22 16:37,-1
20260422,007660,이수페타시스,KOSPI,수급,,unknown,low,"수급(개인투자자), 기술적 돌파(저항선 돌파), 대규모 블록딜 공시, 대주주 지분변동, 공시: 수주/계약 규모",,,,,,,,,False,False,,,,155500.0,155700.0,150600.0,150300.0,151600.0,,-3.28,-3.47,-2.63,,2.63,-8.22,2.63,-20.3,False,"confidence_low, trigger_unknown",,,not_eligible,,,5,avoid,"{""conf_low"": -25, ""trigger_unknown"": -20}",2,1,9,,no_news_in_window,0,,,
